age0	age1	density
0	0.04	2.016E-03
0.04	0.08	2.012E-03
0.08	0.12	2.008E-03
0.12	0.16	2.004E-03
0.16	0.2	2.001E-03
0.2	0.24	1.997E-03
0.24	0.28	1.993E-03
0.28	0.32	1.989E-03
0.32	0.36	1.985E-03
0.36	0.4	1.982E-03
0.4	0.44	1.978E-03
0.44	0.48	1.974E-03
0.48	0.52	1.970E-03
0.52	0.56	1.967E-03
0.56	0.6	1.963E-03
0.6	0.64	1.959E-03
0.64	0.68	1.955E-03
0.68	0.72	1.952E-03
0.72	0.76	1.948E-03
0.76	0.8	1.944E-03
0.8	0.84	1.941E-03
0.84	0.88	1.937E-03
0.88	0.92	1.933E-03
0.92	0.96	1.930E-03
0.96	1	1.926E-03
1	1.05	2.402E-03
1.05	1.1	2.396E-03
1.1	1.15	2.390E-03
1.15	1.2	2.385E-03
1.2	1.25	2.379E-03
1.25	1.3	2.373E-03
1.3	1.35	2.368E-03
1.35	1.4	2.362E-03
1.4	1.45	2.356E-03
1.45	1.5	2.351E-03
1.5	1.55	2.345E-03
1.55	1.6	2.340E-03
1.6	1.65	2.334E-03
1.65	1.7	2.329E-03
1.7	1.75	2.323E-03
1.75	1.8	2.318E-03
1.8	1.85	2.312E-03
1.85	1.9	2.307E-03
1.9	1.95	2.301E-03
1.95	2	2.296E-03
2	2.066666667	3.051E-03
2.066666667	2.133333333	3.041E-03
2.133333333	2.2	3.032E-03
2.2	2.266666667	3.022E-03
2.266666667	2.333333333	3.013E-03
2.333333333	2.4	3.003E-03
2.4	2.466666667	2.994E-03
2.466666667	2.533333333	2.984E-03
2.533333333	2.6	2.975E-03
2.6	2.666666667	2.965E-03
2.666666667	2.733333333	2.956E-03
2.733333333	2.8	2.947E-03
2.8	2.866666667	2.937E-03
2.866666667	2.933333333	2.928E-03
2.933333333	3	2.919E-03
3	3.1	4.357E-03
3.1	3.2	4.337E-03
3.2	3.3	4.316E-03
3.3	3.4	4.296E-03
3.4	3.5	4.275E-03
3.5	3.6	4.255E-03
3.6	3.7	4.235E-03
3.7	3.8	4.215E-03
3.8	3.9	4.195E-03
3.9	4	4.175E-03
4	4.125	5.188E-03
4.125	4.25	5.157E-03
4.25	4.375	5.127E-03
4.375	4.5	5.096E-03
4.5	4.625	5.066E-03
4.625	4.75	5.036E-03
4.75	4.875	5.006E-03
4.875	5	4.977E-03
5	5.2	7.887E-03
5.2	5.4	7.813E-03
5.4	5.6	7.739E-03
5.6	5.8	7.666E-03
5.8	6	7.594E-03
6	6.25	9.381E-03
6.25	6.5	9.270E-03
6.5	6.75	9.161E-03
6.75	7	9.054E-03
7	7.25	8.947E-03
7.25	7.5	8.842E-03
7.5	7.75	8.738E-03
7.75	8	8.635E-03
8	8.25	8.533E-03
8.25	8.5	8.433E-03
8.5	8.75	8.334E-03
8.75	9	8.236E-03
9	9.25	8.139E-03
9.25	9.5	8.043E-03
9.5	9.75	7.949E-03
9.75	10	7.855E-03
10	10.5	1.534E-02
10.5	11	1.499E-02
11	11.5	1.464E-02
11.5	12	1.430E-02
12	12.5	1.397E-02
12.5	13	1.364E-02
13	13.5	1.332E-02
13.5	14	1.301E-02
14	14.5	1.271E-02
14.5	15	1.242E-02
15	15.5	1.213E-02
15.5	16	1.185E-02
16	16.5	1.157E-02
16.5	17	1.130E-02
17	17.5	1.104E-02
17.5	18	1.078E-02
18	18.5	1.053E-02
18.5	19	1.029E-02
19	19.5	1.005E-02
19.5	20	9.813E-03
20	21	1.873E-02
21	22	1.788E-02
22	23	1.707E-02
23	24	1.629E-02
24	25	1.555E-02
25	26	1.485E-02
26	27	1.417E-02
27	28	1.353E-02
28	29	1.291E-02
29	30	1.233E-02
30	32	2.251E-02
32	34	2.055E-02
34	36	1.876E-02
36	38	1.713E-02
38	40	1.564E-02
40	42	1.428E-02
42	44	1.304E-02
44	46	1.191E-02
46	48	1.087E-02
48	50	9.925E-03
50	52	9.062E-03
52	54	8.274E-03
54	56	7.555E-03
56	58	6.898E-03
58	60	6.298E-03
60	62	5.750E-03
