n_run	EIR0	EIR1	EIR2	EIR3	EIR4	EIR5	EIR6	EIR7	EIR8	EIR9	EIR10	EIR11	EIR12	EIR13	EIR14	EIR15	EIR16	EIR17	EIR18	EIR19	EIR20	EIR21	EIR22	EIR23	EIR24	EIR25	EIR26	EIR27	EIR28	EIR29	EIR30	EIR31	EIR32	EIR33	EIR34	EIR35	EIR36	EIR37	EIR38	EIR39	EIR40	EIR41	EIR42	EIR43	EIR44	EIR45	EIR46	EIR47	EIR48	EIR49	EIR50	EIR51	EIR52	EIR53	EIR54	EIR55	EIR56	EIR57	EIR58	EIR59	EIR60	EIR61	EIR62	EIR63	EIR64	EIR65	EIR66	EIR67	EIR68	EIR69	EIR70	EIR71	EIR72	EIR73	EIR74	EIR75	EIR76	EIR77	EIR78	EIR79	EIR80	EIR81	EIR82	EIR83	EIR84
0	6.902e-001	6.911e-001	6.930e-001	6.952e-001	6.977e-001	7.005e-001	7.036e-001	7.069e-001	7.105e-001	7.143e-001	7.183e-001	7.225e-001	7.269e-001	7.315e-001	7.362e-001	7.410e-001	7.460e-001	7.509e-001	7.560e-001	7.610e-001	7.661e-001	7.712e-001	7.762e-001	7.811e-001	7.860e-001	7.908e-001	7.954e-001	7.999e-001	8.042e-001	8.083e-001	8.122e-001	8.159e-001	8.194e-001	8.226e-001	8.255e-001	8.281e-001	8.305e-001	8.324e-001	8.341e-001	8.354e-001	8.363e-001	8.368e-001	8.370e-001	8.367e-001	8.360e-001	8.349e-001	8.333e-001	8.313e-001	8.288e-001	8.259e-001	8.226e-001	8.188e-001	8.145e-001	8.097e-001	8.045e-001	7.988e-001	7.927e-001	7.861e-001	7.791e-001	7.716e-001	7.637e-001	7.553e-001	7.466e-001	7.375e-001	7.280e-001	7.182e-001	7.079e-001	6.974e-001	6.865e-001	6.754e-001	6.639e-001	6.522e-001	6.402e-001	6.280e-001	6.155e-001	6.030e-001	5.903e-001	5.774e-001	5.644e-001	5.513e-001	5.382e-001	5.250e-001	5.117e-001	4.985e-001	4.853e-001
1	6.972e-001	6.980e-001	7.000e-001	7.022e-001	7.047e-001	7.075e-001	7.106e-001	7.139e-001	7.175e-001	7.213e-001	7.254e-001	7.297e-001	7.341e-001	7.387e-001	7.435e-001	7.484e-001	7.533e-001	7.583e-001	7.634e-001	7.685e-001	7.737e-001	7.788e-001	7.838e-001	7.888e-001	7.937e-001	7.985e-001	8.031e-001	8.077e-001	8.120e-001	8.162e-001	8.201e-001	8.239e-001	8.274e-001	8.306e-001	8.335e-001	8.362e-001	8.385e-001	8.405e-001	8.422e-001	8.435e-001	8.444e-001	8.450e-001	8.451e-001	8.448e-001	8.441e-001	8.430e-001	8.414e-001	8.394e-001	8.369e-001	8.340e-001	8.306e-001	8.267e-001	8.224e-001	8.176e-001	8.123e-001	8.066e-001	8.004e-001	7.937e-001	7.867e-001	7.791e-001	7.711e-001	7.627e-001	7.539e-001	7.447e-001	7.351e-001	7.252e-001	7.148e-001	7.042e-001	6.932e-001	6.819e-001	6.704e-001	6.585e-001	6.464e-001	6.341e-001	6.216e-001	6.089e-001	5.960e-001	5.831e-001	5.699e-001	5.567e-001	5.434e-001	5.301e-001	5.167e-001	5.033e-001	4.899e-001
2	7.041e-001	7.050e-001	7.069e-001	7.091e-001	7.117e-001	7.145e-001	7.176e-001	7.210e-001	7.246e-001	7.285e-001	7.325e-001	7.368e-001	7.413e-001	7.460e-001	7.508e-001	7.557e-001	7.607e-001	7.657e-001	7.709e-001	7.760e-001	7.812e-001	7.864e-001	7.914e-001	7.965e-001	8.014e-001	8.063e-001	8.110e-001	8.155e-001	8.199e-001	8.241e-001	8.281e-001	8.319e-001	8.354e-001	8.386e-001	8.416e-001	8.443e-001	8.466e-001	8.487e-001	8.503e-001	8.516e-001	8.526e-001	8.531e-001	8.533e-001	8.530e-001	8.523e-001	8.511e-001	8.495e-001	8.475e-001	8.450e-001	8.420e-001	8.386e-001	8.347e-001	8.303e-001	8.255e-001	8.202e-001	8.144e-001	8.081e-001	8.014e-001	7.943e-001	7.866e-001	7.786e-001	7.701e-001	7.612e-001	7.519e-001	7.423e-001	7.322e-001	7.218e-001	7.110e-001	6.999e-001	6.884e-001	6.768e-001	6.648e-001	6.526e-001	6.402e-001	6.275e-001	6.147e-001	6.018e-001	5.886e-001	5.754e-001	5.621e-001	5.486e-001	5.352e-001	5.217e-001	5.082e-001	4.947e-001
3	7.110e-001	7.119e-001	7.139e-001	7.161e-001	7.187e-001	7.215e-001	7.246e-001	7.280e-001	7.317e-001	7.356e-001	7.397e-001	7.441e-001	7.486e-001	7.533e-001	7.581e-001	7.630e-001	7.681e-001	7.732e-001	7.784e-001	7.836e-001	7.888e-001	7.939e-001	7.991e-001	8.041e-001	8.091e-001	8.140e-001	8.188e-001	8.234e-001	8.278e-001	8.320e-001	8.361e-001	8.399e-001	8.434e-001	8.467e-001	8.497e-001	8.524e-001	8.547e-001	8.568e-001	8.585e-001	8.598e-001	8.607e-001	8.613e-001	8.614e-001	8.611e-001	8.604e-001	8.592e-001	8.576e-001	8.556e-001	8.530e-001	8.500e-001	8.466e-001	8.426e-001	8.382e-001	8.333e-001	8.279e-001	8.221e-001	8.157e-001	8.090e-001	8.018e-001	7.941e-001	7.859e-001	7.774e-001	7.684e-001	7.590e-001	7.492e-001	7.391e-001	7.285e-001	7.177e-001	7.065e-001	6.950e-001	6.832e-001	6.711e-001	6.588e-001	6.462e-001	6.335e-001	6.205e-001	6.074e-001	5.942e-001	5.808e-001	5.673e-001	5.538e-001	5.402e-001	5.266e-001	5.129e-001	4.993e-001
4	7.179e-001	7.188e-001	7.208e-001	7.231e-001	7.256e-001	7.285e-001	7.317e-001	7.351e-001	7.388e-001	7.427e-001	7.469e-001	7.512e-001	7.558e-001	7.605e-001	7.653e-001	7.703e-001	7.754e-001	7.806e-001	7.858e-001	7.910e-001	7.963e-001	8.015e-001	8.067e-001	8.118e-001	8.168e-001	8.218e-001	8.265e-001	8.312e-001	8.356e-001	8.399e-001	8.440e-001	8.478e-001	8.514e-001	8.547e-001	8.577e-001	8.604e-001	8.628e-001	8.649e-001	8.666e-001	8.679e-001	8.689e-001	8.694e-001	8.695e-001	8.692e-001	8.685e-001	8.673e-001	8.657e-001	8.636e-001	8.611e-001	8.581e-001	8.546e-001	8.506e-001	8.461e-001	8.412e-001	8.357e-001	8.298e-001	8.234e-001	8.166e-001	8.094e-001	8.016e-001	7.934e-001	7.847e-001	7.757e-001	7.662e-001	7.563e-001	7.460e-001	7.354e-001	7.244e-001	7.131e-001	7.015e-001	6.896e-001	6.774e-001	6.650e-001	6.523e-001	6.394e-001	6.264e-001	6.131e-001	5.997e-001	5.862e-001	5.727e-001	5.591e-001	5.454e-001	5.316e-001	5.178e-001	5.041e-001
5	7.249e-001	7.258e-001	7.278e-001	7.300e-001	7.326e-001	7.355e-001	7.387e-001	7.421e-001	7.458e-001	7.498e-001	7.540e-001	7.584e-001	7.630e-001	7.677e-001	7.726e-001	7.777e-001	7.828e-001	7.880e-001	7.933e-001	7.985e-001	8.038e-001	8.091e-001	8.143e-001	8.195e-001	8.245e-001	8.295e-001	8.343e-001	8.390e-001	8.435e-001	8.478e-001	8.519e-001	8.557e-001	8.594e-001	8.627e-001	8.658e-001	8.685e-001	8.709e-001	8.730e-001	8.747e-001	8.760e-001	8.770e-001	8.775e-001	8.777e-001	8.774e-001	8.766e-001	8.755e-001	8.738e-001	8.717e-001	8.691e-001	8.661e-001	8.626e-001	8.585e-001	8.540e-001	8.490e-001	8.436e-001	8.376e-001	8.312e-001	8.243e-001	8.169e-001	8.090e-001	8.008e-001	7.920e-001	7.829e-001	7.733e-001	7.634e-001	7.530e-001	7.423e-001	7.313e-001	7.198e-001	7.081e-001	6.961e-001	6.838e-001	6.712e-001	6.584e-001	6.455e-001	6.323e-001	6.189e-001	6.054e-001	5.918e-001	5.781e-001	5.643e-001	5.505e-001	5.366e-001	5.226e-001	5.087e-001
6	7.319e-001	7.328e-001	7.348e-001	7.371e-001	7.396e-001	7.425e-001	7.457e-001	7.492e-001	7.530e-001	7.570e-001	7.612e-001	7.656e-001	7.702e-001	7.750e-001	7.800e-001	7.850e-001	7.902e-001	7.955e-001	8.008e-001	8.061e-001	8.114e-001	8.167e-001	8.219e-001	8.272e-001	8.323e-001	8.373e-001	8.421e-001	8.469e-001	8.514e-001	8.557e-001	8.598e-001	8.637e-001	8.674e-001	8.708e-001	8.738e-001	8.766e-001	8.790e-001	8.811e-001	8.828e-001	8.842e-001	8.851e-001	8.857e-001	8.858e-001	8.855e-001	8.848e-001	8.836e-001	8.819e-001	8.798e-001	8.772e-001	8.741e-001	8.705e-001	8.664e-001	8.619e-001	8.569e-001	8.514e-001	8.453e-001	8.388e-001	8.318e-001	8.244e-001	8.165e-001	8.081e-001	7.993e-001	7.901e-001	7.804e-001	7.704e-001	7.599e-001	7.491e-001	7.379e-001	7.264e-001	7.146e-001	7.025e-001	6.901e-001	6.774e-001	6.645e-001	6.513e-001	6.380e-001	6.245e-001	6.109e-001	5.972e-001	5.834e-001	5.694e-001	5.554e-001	5.414e-001	5.274e-001	5.133e-001
7	7.388e-001	7.397e-001	7.417e-001	7.440e-001	7.466e-001	7.495e-001	7.527e-001	7.562e-001	7.600e-001	7.640e-001	7.683e-001	7.727e-001	7.774e-001	7.822e-001	7.872e-001	7.923e-001	7.975e-001	8.028e-001	8.082e-001	8.135e-001	8.189e-001	8.242e-001	8.295e-001	8.348e-001	8.399e-001	8.450e-001	8.499e-001	8.546e-001	8.592e-001	8.636e-001	8.678e-001	8.717e-001	8.754e-001	8.787e-001	8.818e-001	8.846e-001	8.871e-001	8.892e-001	8.909e-001	8.923e-001	8.932e-001	8.938e-001	8.939e-001	8.936e-001	8.929e-001	8.917e-001	8.900e-001	8.878e-001	8.852e-001	8.821e-001	8.785e-001	8.744e-001	8.698e-001	8.647e-001	8.592e-001	8.531e-001	8.465e-001	8.395e-001	8.320e-001	8.240e-001	8.156e-001	8.067e-001	7.973e-001	7.876e-001	7.774e-001	7.669e-001	7.560e-001	7.447e-001	7.331e-001	7.212e-001	7.089e-001	6.964e-001	6.836e-001	6.706e-001	6.573e-001	6.440e-001	6.303e-001	6.166e-001	6.027e-001	5.887e-001	5.747e-001	5.605e-001	5.464e-001	5.323e-001	5.181e-001
8	7.457e-001	7.467e-001	7.487e-001	7.510e-001	7.536e-001	7.566e-001	7.598e-001	7.633e-001	7.671e-001	7.712e-001	7.754e-001	7.799e-001	7.847e-001	7.895e-001	7.945e-001	7.997e-001	8.049e-001	8.103e-001	8.157e-001	8.211e-001	8.265e-001	8.319e-001	8.372e-001	8.425e-001	8.477e-001	8.528e-001	8.577e-001	8.625e-001	8.671e-001	8.715e-001	8.757e-001	8.797e-001	8.834e-001	8.868e-001	8.899e-001	8.927e-001	8.952e-001	8.973e-001	8.991e-001	9.004e-001	9.014e-001	9.019e-001	9.021e-001	9.018e-001	9.010e-001	8.998e-001	8.981e-001	8.959e-001	8.933e-001	8.901e-001	8.865e-001	8.823e-001	8.777e-001	8.726e-001	8.669e-001	8.608e-001	8.542e-001	8.470e-001	8.395e-001	8.314e-001	8.229e-001	8.139e-001	8.045e-001	7.947e-001	7.845e-001	7.738e-001	7.628e-001	7.514e-001	7.397e-001	7.276e-001	7.153e-001	7.026e-001	6.897e-001	6.766e-001	6.633e-001	6.497e-001	6.359e-001	6.220e-001	6.081e-001	5.940e-001	5.798e-001	5.655e-001	5.512e-001	5.370e-001	5.227e-001
9	7.526e-001	7.535e-001	7.556e-001	7.579e-001	7.605e-001	7.635e-001	7.668e-001	7.703e-001	7.741e-001	7.782e-001	7.825e-001	7.871e-001	7.918e-001	7.967e-001	8.018e-001	8.070e-001	8.122e-001	8.176e-001	8.231e-001	8.285e-001	8.339e-001	8.394e-001	8.448e-001	8.501e-001	8.553e-001	8.605e-001	8.655e-001	8.703e-001	8.749e-001	8.794e-001	8.836e-001	8.876e-001	8.913e-001	8.948e-001	8.979e-001	9.008e-001	9.032e-001	9.054e-001	9.072e-001	9.085e-001	9.095e-001	9.101e-001	9.102e-001	9.099e-001	9.091e-001	9.079e-001	9.062e-001	9.040e-001	9.013e-001	8.981e-001	8.944e-001	8.903e-001	8.856e-001	8.804e-001	8.747e-001	8.686e-001	8.619e-001	8.547e-001	8.470e-001	8.389e-001	8.303e-001	8.213e-001	8.118e-001	8.019e-001	7.916e-001	7.808e-001	7.696e-001	7.582e-001	7.464e-001	7.342e-001	7.217e-001	7.090e-001	6.960e-001	6.827e-001	6.692e-001	6.556e-001	6.418e-001	6.277e-001	6.136e-001	5.994e-001	5.851e-001	5.707e-001	5.563e-001	5.419e-001	5.275e-001
