

Cluster:	0	mvn:	12	int_num	0
t	S	T	D	A	U	P	EIR	prev	clin_inc	pcr_fraction
0	100	0	0	0	0	0	0.000e+000	0.000e+000	0.000e+000	0.000e+000
7	100	0	0	0	0	0	0.000e+000	0.000e+000	0.000e+000	0.000e+000
14	100	0	0	0	0	0	0.000e+000	0.000e+000	0.000e+000	0.000e+000
21	98	0	1	1	0	0	0.000e+000	2.000e-002	1.043e+000	2.000e-002
28	98	0	1	1	0	0	0.000e+000	2.000e-002	0.000e+000	2.000e-002
35	98	0	0	2	0	0	0.000e+000	2.000e-002	0.000e+000	2.000e-002
42	98	0	0	2	0	0	0.000e+000	2.000e-002	0.000e+000	2.000e-002
49	98	0	0	2	0	0	0.000e+000	2.000e-002	0.000e+000	2.000e-002
56	97	0	0	2	1	0	0.000e+000	2.000e-002	0.000e+000	3.000e-002
63	97	0	0	2	1	0	0.000e+000	2.000e-002	0.000e+000	3.000e-002
70	97	0	0	2	1	0	0.000e+000	2.000e-002	0.000e+000	3.000e-002
77	97	0	0	2	1	0	0.000e+000	2.000e-002	0.000e+000	3.000e-002
84	97	0	0	2	1	0	0.000e+000	2.000e-002	0.000e+000	3.000e-002
